	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_11403	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA
ASV_11404	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11405	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA	NA
ASV_11406	Bacteria	SAR324 clade(Marine group B)	NA	NA	NA	NA	NA
ASV_11407	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_11408	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_11409	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA
ASV_11410	Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
ASV_11411	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_11412	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
ASV_11413	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_11414	Bacteria	Patescibacteria	WWE3	NA	NA	NA	NA
ASV_11415	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_11416	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	NA	NA	NA
ASV_11417	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV_11418	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15	NA	NA	NA
ASV_11419	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA
ASV_11420	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	NA
ASV_11421	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11422	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	alkaliphilus
ASV_11423	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_11424	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	NA	NA	NA
ASV_11425	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_11426	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia	NA
ASV_11427	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV_11428	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA
ASV_11429	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	NA	NA
ASV_11430	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_11431	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	NA	NA
ASV_11432	Bacteria	Verrucomicrobiota	Verrucomicrobiae	S-BQ2-57 soil group	NA	NA	NA
ASV_11433	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA	NA
ASV_11434	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	LD-RB-34	NA	NA
ASV_11435	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA
ASV_11436	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_11437	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
ASV_11438	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_11439	Bacteria	Myxococcota	Polyangia	MidBa8	NA	NA	NA
ASV_11440	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	NA
ASV_11441	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_11442	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	NA	NA
ASV_11443	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	NA	NA	NA
ASV_11444	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_11445	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA
ASV_11446	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	NA	NA
ASV_11447	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_11448	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA
ASV_11449	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	NA	NA	NA
ASV_11450	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_11451	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_11452	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	NA	NA
ASV_11453	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	NA
ASV_11454	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_11455	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV_11456	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_11457	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	NA
ASV_11458	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11459	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11460	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA
ASV_11461	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV_11462	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_11463	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA
ASV_11464	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Candidatus Bealeia	NA
ASV_11465	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	NA	NA
ASV_11466	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11467	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_11468	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV_11469	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
ASV_11470	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	NA
ASV_11471	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12	NA
